Date,Temperature(M),Temperature(L),Temperature(H)
2021-05-05,18.7,13.1,24.2
2021-05-06,16.8,8.7,22.3
2021-05-07,18.9,14.8,23.7
2021-05-08,18.1,8.7,24.1
2021-05-09,18.9,13.1,24.8
2021-05-10,15.3,13,18.1
2021-05-11,15.3,13.4,18.7
2021-05-12,16.4,13.6,21
2021-05-13,18.3,12.7,25.6
2021-05-14,19.4,13.9,25
2021-05-15,18.9,17,21.3
2021-05-16,19.4,13.7,23.7
2021-05-17,14.4,13.2,16.2
2021-05-18,16,13.9,18.6
2021-05-19,20.3,14.6,26.5
2021-05-20,16.1,14.7,18.1
2021-05-21,17.4,14.6,22.1
2021-05-22,19.8,13.1,24.5
2021-05-23,23.7,16.3,30.5
2021-05-24,19.6,17.4,24.2
2021-05-25,19,13.9,24.3
2021-05-26,18.3,12.1,23.7
2021-05-27,19.1,14.9,24.4
2021-05-28,17.5,12.1,26
2021-05-29,19.3,12.1,25.9
2021-05-30,19.2,14.3,24.1
